N time swaps
100 2 667
110 2 752
120 3 880
130 4 1130
140 4 1267
150 4 1202
160 4 1290
170 5 1395
180 5 1508
190 5 1623
200 6 1758
210 6 1877
220 7 1961
230 7 2101
240 6 1915
250 7 1973
260 9 2535
270 10 2615
280 10 2795
290 12 2957
300 16 3028
310 16 3179
320 12 3310
330 13 3462
340 13 3618
350 14 3750
360 15 3871
370 15 3971
380 14 3507
390 14 3680
400 14 3841
410 16 3925
420 15 4062
430 17 4204
440 16 4371
450 17 4497
460 18 4649
470 18 4762
480 18 4859
490 19 4990
500 20 5184
510 21 5321
520 26 6311
530 24 6489
540 26 6643
550 26 6826
560 27 7000
570 27 7011
580 28 7177
590 29 7364
600 29 7539
610 27 6809
620 27 6987
630 28 7066
640 28 7200
650 29 7381
660 29 7441
670 33 7660
680 31 7763
690 31 7864
700 31 7955
710 33 8174
720 32 8295
730 33 8459
740 34 8668
750 35 8867
760 36 9060
770 39 9153
780 38 9348
790 38 9544
800 39 9697
810 40 9832
820 40 10034
830 41 10270
840 42 10484
850 42 10619
860 43 10731
870 43 10912
880 44 11009
890 44 11232
900 46 11473
910 46 11637
920 47 11778
930 48 11914
940 49 12152
950 51 12357
960 50 12556
970 52 12682
980 54 12844
990 45 11186
1000 49 11362
1010 48 11540
1020 48 11562
1030 56 13706
1040 58 13802
1050 56 13891
1060 57 14070
1070 60 14275
1080 66 14607
1090 60 14858
1100 63 14953
1110 65 15150
1120 65 15469
1130 63 15570
1140 68 15788
1150 65 16000
1160 74 16261
1170 68 16493
1180 72 16699
1190 69 16828
1200 73 16875
1210 80 17026
1220 70 17090
1230 78 17185
1240 85 17251
1250 76 17412
1260 78 17687
1270 77 17681
1280 75 18040
1290 75 17996
1300 86 18191
1310 89 18389
1320 79 18586
1330 95 18819
1340 88 18974
1350 98 19236
1360 82 19399
1370 100 19523
1380 104 19640
1390 85 19644
1400 89 19857
1410 103 20238
1420 90 20429
1430 100 20676
1440 97 20800
1450 107 21040
1460 107 21085
1470 120 21291
1480 113 21521
1490 100 21674
1500 105 21876
1510 115 22096
1520 110 22258
1530 129 22482
1540 142 22635
1550 126 22757
1560 113 23065
1570 111 23289
1580 133 23419
1590 115 23599
1600 96 21140
1610 102 21333
1620 101 21433
1630 119 21605
1640 100 21736
1650 99 21929
1660 101 22003
1670 119 22272
1680 126 22398
1690 125 22567
1700 112 22746
1710 120 22882
1720 130 22971
1730 129 23066
1740 123 23200
1750 139 23476
1760 140 23650
1770 129 23774
1780 136 24009
1790 120 24109
1800 138 24291
1810 123 24440
1820 143 24535
1830 128 24807
1840 127 25041
1850 139 25143
1860 150 25487
1870 139 25677
1880 137 25830
1890 153 26094
1900 136 26178
1910 146 26398
1920 153 26411
1930 156 26627
1940 148 26699
1950 150 26971
1960 164 27119
1970 172 27307
1980 169 27451
1990 148 27579
