N time swaps
100 4 277
110 4 297
120 5 352
130 5 374
140 6 426
150 6 469
160 7 502
170 7 516
180 8 561
190 8 602
200 9 666
210 10 724
220 10 721
230 11 805
240 11 880
250 12 947
260 13 1037
270 13 1048
280 15 1153
290 15 1194
300 16 1205
310 16 1292
320 17 1350
330 19 1415
340 18 1479
350 19 1521
360 20 1579
370 20 1584
380 21 1603
390 21 1667
400 22 1777
410 23 1784
420 23 1851
430 24 1938
440 25 2039
450 26 2104
460 27 2241
470 28 2279
480 28 2290
490 30 2417
500 31 2529
510 31 2519
520 32 2600
530 33 2677
540 38 2776
550 34 2863
560 36 2977
570 37 2919
580 36 2959
590 37 3001
600 38 3139
610 39 3207
620 40 3313
630 40 3260
640 41 3342
650 42 3399
660 43 3414
670 43 3480
680 44 3492
690 45 3552
700 46 3605
710 47 3785
720 48 3891
730 50 3901
740 51 4167
750 52 4250
760 54 4341
770 53 4303
780 55 4445
790 57 4581
800 57 4512
810 58 4602
820 60 4746
830 61 4852
840 62 4995
850 63 5054
860 64 5097
870 65 5140
880 67 5182
890 68 5290
900 69 5454
910 72 5562
920 73 5645
930 74 5726
940 77 5981
950 80 6118
960 79 6195
970 81 6158
980 82 6275
990 83 6376
1000 86 6493
1010 98 6647
1020 90 6852
1030 96 7003
1040 93 6925
1050 95 6914
1060 95 7045
1070 99 7193
1080 104 7542
1090 111 7633
1100 112 7636
1110 108 7724
1120 111 7935
1130 117 8091
1140 114 8220
1150 117 8313
1160 120 8464
1170 122 8497
1180 122 8660
1190 126 8697
1200 129 8664
1210 129 8809
1220 130 8738
1230 132 8682
1240 134 8685
1250 131 8672
1260 136 8789
1270 136 8723
1280 141 8938
1290 138 8708
1300 140 8781
1310 143 8974
1320 144 9055
1330 149 9212
1340 151 9323
1350 157 9568
1360 157 9682
1370 154 9655
1380 159 9673
1390 154 9373
1400 159 9542
1410 162 9798
1420 188 9815
1430 179 10096
1440 175 10044
1450 174 10195
1460 173 10246
1470 175 10222
1480 179 10338
1490 178 10402
1500 190 10422
1510 182 10502
1520 184 10461
1530 187 10699
1540 186 10741
1550 187 10679
1560 195 11010
1570 197 11143
1580 196 11119
1590 199 11263
1600 204 11439
1610 208 11637
1620 210 11689
1630 209 11856
1640 225 11874
1650 217 11879
1660 216 11951
1670 221 12119
1680 220 12213
1690 222 12263
1700 222 12245
1710 227 12271
1720 224 12248
1730 226 12278
1740 227 12436
1750 235 12626
1760 232 12719
1770 238 12837
1780 237 12898
1790 252 13092
1800 256 13110
1810 245 13077
1820 241 12895
1830 265 13115
1840 251 13234
1850 249 13255
1860 254 13601
1870 256 13760
1880 258 13766
1890 260 13882
1900 262 13917
1910 266 14040
1920 264 14054
1930 269 14222
1940 271 14291
1950 275 14631
1960 277 14680
1970 283 14602
1980 278 14788
1990 284 14849
