N time swaps
100 8 554
110 15 699
120 16 940
130 11 799
140 20 993
150 20 1202
160 27 1434
170 20 1289
180 36 1741
190 28 1412
200 34 1917
210 33 1932
220 51 1986
230 40 2130
240 62 3368
250 57 2678
260 70 3425
270 69 2983
280 77 3477
290 77 4188
300 82 3953
310 89 3938
320 103 5231
330 112 4419
340 116 5142
350 126 5538
360 155 6807
370 124 5761
380 111 5307
390 119 7111
400 190 7445
410 153 6683
420 161 8043
430 143 7949
440 177 7615
450 188 10663
460 151 7291
470 176 7070
480 221 12686
490 191 9389
500 292 9677
510 255 8674
520 291 12173
530 279 11531
540 347 12310
550 359 11081
560 385 14369
570 264 12089
580 337 13772
590 336 13063
600 320 14562
610 320 15451
620 391 13732
630 413 13779
640 440 19890
650 408 16903
660 432 17145
670 387 14279
680 555 20699
690 474 17225
700 575 17704
710 478 19283
720 658 25169
730 583 19423
740 557 22049
750 641 19802
760 621 23160
770 508 24056
780 698 25160
790 488 20533
800 767 28146
810 578 22788
820 630 25622
830 737 21614
840 752 28945
850 630 24139
860 615 24801
870 804 26993
880 799 32139
890 775 27802
900 846 34875
910 785 26472
920 889 31500
930 973 35041
940 947 31813
950 801 27389
960 1172 40048
970 838 33979
980 838 31945
990 1033 31816
1000 1245 40159
1010 1080 34981
1020 1145 33032
1030 1074 37321
1040 1213 47374
1050 1188 37346
1060 1033 37832
1070 1222 36824
1080 1135 42990
1090 1214 45832
1100 1247 42250
1110 1254 40746
1120 1473 53000
1130 1328 43881
1140 1613 44328
1150 1261 44000
1160 1555 59206
1170 1426 54719
1180 1369 52144
1190 1469 48740
1200 1496 61655
1210 1499 55300
1220 1756 54302
1230 1533 51826
1240 1939 64042
1250 1657 56981
1260 1729 53294
1270 1575 51335
1280 1750 76452
1290 1537 54268
1300 1777 59287
1310 1735 57267
1320 1624 65050
1330 1864 61892
1340 1786 64872
1350 1701 66779
1360 2221 82182
1370 1961 67219
1380 2032 76209
1390 1791 60249
1400 2296 73938
1410 2049 81658
1420 1972 73508
1430 1846 66223
1440 2683 88300
1450 2078 74732
1460 2549 75039
1470 2056 69477
1480 2180 82786
1490 2125 80341
1500 2578 74658
1510 2457 81936
1520 3149 103660
1530 2255 75211
1540 2527 89488
1550 2256 76292
1560 2554 100080
1570 2354 89393
1580 2216 77274
1590 2862 75007
1600 2702 115682
1610 2518 89357
1620 2375 90911
1630 2408 75893
1640 2442 91474
1650 2863 97060
1660 2627 84014
1670 2581 88704
1680 3848 111763
1690 2308 91718
1700 2973 103506
1710 2947 86049
1720 3139 110702
1730 2947 115757
1740 3292 105635
1750 2703 89846
1760 3579 131946
1770 2807 100824
1780 4049 106334
1790 3261 105045
1800 4124 132574
1810 3269 112663
1820 3182 104930
1830 2906 107293
1840 4122 135879
1850 3651 98823
1860 3190 117208
1870 3559 107149
1880 4397 126435
1890 3639 117739
1900 3628 116370
1910 3611 110575
1920 3724 158181
1930 3129 116952
1940 4268 130851
1950 3978 109780
1960 3546 133252
1970 4025 129946
1980 3484 120460
1990 4208 135653
