N time swaps
100 1 542
110 2 615
120 2 720
130 3 973
140 4 1086
150 3 1001
160 3 1075
170 4 1165
180 4 1273
190 4 1367
200 5 1457
210 5 1573
220 6 1658
230 6 1777
240 5 1550
250 5 1616
260 8 2121
270 8 2217
280 8 2363
290 14 2504
300 14 2574
310 9 2718
320 11 2827
330 10 2967
340 11 3091
350 12 3189
360 12 3295
370 12 3410
380 13 2976
390 11 3087
400 12 3206
410 13 3319
420 13 3439
430 13 3545
440 17 3663
450 14 3763
460 14 3896
470 15 3995
480 15 4076
490 16 4216
500 18 4346
510 17 4477
520 21 5467
530 23 5638
540 22 5780
550 23 5884
560 23 6045
570 23 6063
580 24 6237
590 25 6434
600 25 6575
610 22 5749
620 23 5955
630 23 6002
640 24 6166
650 25 6332
660 24 6391
670 25 6557
680 26 6666
690 26 6790
700 26 6875
710 28 7051
720 27 7139
730 28 7307
740 29 7451
750 30 7612
760 30 7811
770 31 7891
780 31 8045
790 32 8170
800 33 8338
810 34 8450
820 34 8609
830 35 8790
840 45 8990
850 36 9170
860 37 9295
870 37 9431
880 38 9509
890 38 9704
900 40 9916
910 40 10089
920 40 10234
930 41 10342
940 42 10531
950 43 10687
960 43 10829
970 46 10928
980 45 11064
990 38 9460
1000 39 9612
1010 38 9760
1020 43 9839
1030 47 11728
1040 48 11881
1050 48 12007
1060 49 12161
1070 49 12338
1080 50 12557
1090 50 12692
1100 52 12836
1110 52 12993
1120 55 13215
1130 54 13280
1140 57 13469
1150 54 13581
1160 56 13730
1170 60 13973
1180 58 14060
1190 66 14259
1200 61 14356
1210 58 14550
1220 61 14629
1230 60 14798
1240 60 14911
1250 63 15034
1260 63 15271
1270 61 15314
1280 63 15625
1290 66 15588
1300 65 15784
1310 68 15956
1320 66 16222
1330 71 16376
1340 67 16545
1350 71 16753
1360 74 16908
1370 69 17000
1380 73 17106
1390 78 17173
1400 80 17375
1410 76 17743
1420 74 17966
1430 81 18191
1440 90 18190
1450 84 18437
1460 88 18527
1470 90 18751
1480 78 18964
1490 79 19119
1500 82 19270
1510 86 19441
1520 102 19667
1530 98 19842
1540 103 20022
1550 97 20135
1560 86 20366
1570 87 20590
1580 93 20716
1590 93 20897
1600 79 18172
1610 85 18283
1620 78 18371
1630 76 18546
1640 85 18741
1650 86 18911
1660 90 19000
1670 79 19153
1680 86 19310
1690 89 19447
1700 93 19570
1710 101 19726
1720 81 19865
1730 93 20024
1740 92 20129
1750 105 20360
1760 88 20482
1770 99 20609
1780 97 20779
1790 104 20932
1800 115 21119
1810 90 21267
1820 113 21359
1830 104 21542
1840 119 21703
1850 98 21856
1860 115 22110
1870 99 22253
1880 106 22410
1890 103 22602
1900 118 22699
1910 112 22835
1920 120 22923
1930 107 23137
1940 133 23196
1950 122 23445
1960 122 23644
1970 124 23805
1980 113 23958
1990 112 24049
